Cross-sectional name,region,month,target,status quo,Whether the standard is met,pH,dissolved oxygen,Potassium monate index,Biochemical oxygen demand,Ammonia nitrogen,Petroleum,Volatile phenols,mercury,lead,Total phosphorus,copper,zinc,fluoride,selenium,arsenic,cadmium,Hexavalent chromium,cyanide,Anionic surfactants,sulfide,Chemical oxygen demand
North of Longji Town,Sihong County,6,4,3,1,8.56,7.3,2.8,2.9,0.12,0.005,0.0016,0.00001,0.00102,0.05,0.00458,0.0177,0.81,0.0002,0.0013,0.00003,0.002,0.002,0.025,0.0025,17
North of Longji Town,Sihong County,7,4,4,1,8.21,8.5,5.4,2.2,0.07,0.005,0.00015,0.00002,0.00005,0.08,0.00169,0.00035,0.75,0.0005,0.0052,0.00003,0.002,0.002,0.025,0.005,17
North of Longji Town,Sihong County,8,4,5,0,8.31,8.5,5.6,2.2,0.06,0.005,0.00015,0.00002,0.00005,0.14,0.00181,0.0023,0.825,0.001,0.0072,0.00003,0.002,0.002,0.025,0.0025,14
North of Longji Town,Sihong County,9,4,4,1,8.39,8,4.2,0.7,0.09,0.005,0.00015,0.00002,0.0008,0.09,0.00298,0.0056,0.794,0.0005,0.0073,0.00003,0.002,0.002,0.025,0.0025,14
North of Longji Town,Sihong County,10,4,5,0,8.23,9.3,4,2.8,0.59,0.005,0.0023,0.00001,0.00005,0.11,0.00207,0.0524,0.51,0.0002,0.0025,0.00003,0.002,0.002,0.025,0.0025,16
North of Longji Town,Sihong County,11,4,5,0,8.4,8,4.8,0.6,0.07,0.03,0.00015,0.00002,0.0007,0.05,0.00123,0.0076,0.75,0.0005,0.0022,0.00003,0.002,0.002,0.025,0.0025,14
North of Longji Town,Sihong County,12,4,3,1,8.38,11.9,4,2.8,0.07,0.005,0.0019,0.00002,0.00005,0.04,0.00138,0.0147,0.63,0.0002,0.0069,0.00011,0.002,0.002,0.025,0.0025,13
Three,Lakeside New Area,1,3,3,1,8.6,13.2,3.5,3.2,0.15,0.03,0.0022,0.00002,0.001,0.04,0.00004,0.01,0.36,0.0002,0.0003,0.00002,0.002,0.002,0.02,0.002,14
Three,Lakeside New Area,2,3,3,1,8.34,13.3,3.6,3.6,0.24,0.01,0.0002,0.00002,0.00009,0.02,0.001,0.02,0.46,0.0002,0.0018,0.00002,0.002,0.002,0.05,0.002,15
Three,Lakeside New Area,3,3,3,1,7.78,11.2,4.2,2.8,0.1,0.02,0.0012,0.00001,0.00005,0.02,0.00107,0.0092,0.65,0.00065,0.00095,0.00003,0.002,0.002,0.025,0.0025,14
Three,Lakeside New Area,4,3,3,1,8.74,7.9,3.1,3.3,0.16,0.02,0.0041,0.00001,0.00011,0.02,0.00898,0.0606,0.44,0.0002,0.0008,0.00003,0.002,0.002,0.025,0.0025,17
Three,Lakeside New Area,5,3,3,1,8.54,7.6,3.7,2.8,0.16,0.005,0.00015,0.00003,0.00005,0.04,0.00004,0.0129,0.4,0.0002,0.0006,0.00003,0.002,0.002,0.025,0.0025,18
Three,Lakeside New Area,6,3,2,1,8.33,9.6,3.2,2.4,0.18,0.005,0.0013,0.00001,0.00005,0.02,0.00188,0.0388,0.71,0.0002,0.0008,0.00003,0.002,0.002,0.025,0.0025,12
Three,Lakeside New Area,7,3,3,1,8.5,8.5,3.5,2.4,0.32,0.02,0.0004,0.00002,0.00005,0.03,0.003,0.002,0.49,0.0002,0.0015,0.00003,0.002,0.002,0.025,0.0025,15
Three,Lakeside New Area,8,3,3,1,8.5,7.3,4.1,2.7,0.19,0.005,0.0027,0.00001,0.00005,0.04,0.00089,0.0121,0.7,0.0002,0.0038,0.00009,0.002,0.002,0.025,0.0025,19
Three,Lakeside New Area,9,3,3,1,8.64,7.8,3.4,2.6,0.18,0.005,0.0004,0.00002,0.00005,0.04,0.00166,0.0071,0.55,0.0002,0.0031,0.00003,0.002,0.002,0.025,0.0025,15
Three,Lakeside New Area,10,3,5,0,8.26,8.7,3.7,3.8,0.06,0.01,0.0023,0.00001,0.00005,0.15,0.00079,0.0594,0.37,0.0005,0.0014,0.00003,0.002,0.002,0.025,0.0025,11
Three,Lakeside New Area,11,3,3,1,8.17,9.4,3,3,0.04,0.01,0.0023,0.00002,0.00005,0.05,0.00056,0.0523,0.64,0.0002,0.001,0.00003,0.002,0.002,0.025,0.0025,15
Three,Lakeside New Area,12,3,2,1,8.42,11.2,2.9,2.2,0.13,0.01,0.0005,0.00002,0.00005,0.01,0.00158,0.0404,0.46,0.0002,0.0029,0.00003,0.002,0.002,0.025,0.0025,14
Llama Lake Township,Lakeside New Area,1,3,3,1,8.38,13.5,3.9,2.9,0.17,0.03,0.0018,0.00002,0.001,0.03,0.001,0.01,0.36,0.0002,0.0011,0.00002,0.002,0.002,0.02,0.002,12
Llama Lake Township,Lakeside New Area,2,3,3,1,7.77,13.2,3.7,3.4,0.25,0.01,0.0003,0.00002,0.001,0.05,0.002,0.02,0.42,0.0003,0.0018,0.00002,0.002,0.002,0.05,0.005,16
Llama Lake Township,Lakeside New Area,3,3,3,1,8.44,10.2,3.9,3.1,0.08,0.02,0.0012,0.00001,0.00005,0.05,0.00072,0.0066,0.66,0.0005,0.0008,0.00003,0.002,0.002,0.025,0.0025,16
Llama Lake Township,Lakeside New Area,4,3,3,1,8.2,9.4,3.3,3.1,0.18,0.02,0.0016,0.00001,0.00005,0.02,0.00004,0.0308,0.46,0.0002,0.00075,0.00003,0.002,0.002,0.025,0.0025,16
Llama Lake Township,Lakeside New Area,5,3,3,1,8.37,8.4,3.7,2.6,0.14,0.005,0.00015,0.00001,0.00005,0.04,0.00004,0.0136,0.09,0.0002,0.0007,0.00003,0.002,0.002,0.025,0.0025,17
Llama Lake Township,Lakeside New Area,6,3,2,1,8.68,9.8,3.4,2.5,0.11,0.005,0.0008,0.00001,0.00005,0.02,0.00172,0.0158,0.72,0.0002,0.001,0.00003,0.002,0.002,0.025,0.0025,13
Llama Lake Township,Lakeside New Area,7,3,3,1,7.86,7.9,4.1,2.1,0.19,0.005,0.0005,0.00002,0.00015,0.05,0.003,0.002,0.5,0.0002,0.0022,0.00003,0.002,0.002,0.025,0.0025,16
Llama Lake Township,Lakeside New Area,8,3,4,0,8.24,7.1,3.9,2.6,0.22,0.005,0.003,0.00002,0.00005,0.06,0.00074,0.0069,0.7,0.0002,0.0044,0.00006,0.002,0.002,0.025,0.0025,14
Llama Lake Township,Lakeside New Area,9,3,3,1,8.3,7.7,3.3,2.6,0.26,0.02,0.0016,0.00002,0.00038,0.04,0.00658,0.0209,0.6,0.0002,0.003,0.00003,0.002,0.002,0.025,0.0025,18
Llama Lake Township,Lakeside New Area,10,3,5,0,8.14,8.8,4.1,3.6,0.03,0.01,0.0028,0.00001,0.00012,0.15,0.00077,0.0785,0.36,0.0005,0.0014,0.00003,0.002,0.002,0.025,0.0025,13
Llama Lake Township,Lakeside New Area,11,3,3,1,8.54,9.5,3.2,2.3,0.04,0.005,0.0012,0.00002,0.00005,0.04,0.00057,0.0076,0.6,0.0002,0.0011,0.00003,0.002,0.002,0.025,0.0025,15
Llama Lake Township,Lakeside New Area,12,3,2,1,8.27,11.5,3.6,2.4,0.06,0.005,0.0012,0.00002,0.00011,0.005,0.00179,0.0402,0.44,0.0002,0.0068,0.00003,0.002,0.002,0.025,0.0025,12
