Aquatic body name,Cross-sectional name,Cross-sectional code,month,pH,dissolved oxygen,Potassium monate index,Biochemical oxygen demand,Ammonia nitrogen,Total phosphorus,Total nitrogen,copper,zinc,fluoride,selenium,arsenic,mercury,cadmium,Hexavalent chromium,lead,cyanide,Volatile phenols,Petroleum,Anionic surfactants,sulfide,Chlorophyll,transparency,Eutrophic index,Eutrophication,Chemical oxygen demand
Hongze Lake,Linhuai Township,53,1,8.4,12.4,4.4,2.8,0.58,0.19,2.5,0.0005,0.025,0.52,0.0002,0.0034,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.03,0.03,0.01,0.012,25,60.8,Zhongfu,16
Hongze Lake,Linhuai Township,53,2,8.4,13.2,4,2.8,0.39,0.07,2,0.0005,0.025,0.56,0.0002,0.0105,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.02,0.03,0.01,0.012,40,54.8,Light rich,11
Hongze Lake,Linhuai Township,53,3,8.1,9.8,4.1,2.8,0.3,0.15,1.4,0.0005,0.02,0.59,0.0002,0.0022,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.02,0.02,0.009,0.003,35,52.7,Light rich,10
Hongze Lake,Linhuai Township,53,4,8.4,8.8,4.4,2.7,0.26,0.17,1.6,0.0005,0.02,0.5,0.0002,0.0023,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.02,0.015,0.01,35,57.3,Light rich,14
Hongze Lake,Linhuai Township,53,5,8.3,8.1,3.7,2.7,0.36,0.1,1.8,0.0005,0.02,0.55,0.0002,0.0022,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.02,0.015,0.005,35,53.2,Light rich,17
Hongze Lake,Linhuai Township,53,6,8.4,6.9,4.7,2.2,0.29,0.06,1.5,0.0005,0.02,0.67,0.0002,0.0035,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.02,0.02,0.014,0.006,42,52.1,Light rich,10
Hongze Lake,Linhuai Township,53,7,8.3,7.2,5.9,1.7,0.51,0.12,2.1,0.014,0.01,0.67,0.0005,0.0052,0.00002,0.0001,0.002,0.003,0.002,0.0002,0.01,0.02,0.002,0.016,28,60.6,Light rich,19
Hongze Lake,Linhuai Township,53,8,8.5,6.9,6,2.8,0.18,0.12,1.6,0.002,0.01,0.75,0.0002,0.0136,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.028,75,58.1,Light rich,16
Hongze Lake,Linhuai Township,53,9,8.3,6.8,5.9,1.4,0.18,0.15,1.8,0.001,0.01,0.53,0.0005,0.0111,0.00002,0.00002,0.002,0.001,0.002,0.0002,0.01,0.02,0.002,0.012,45,58.4,Light rich,17
Hongze Lake,Linhuai Township,53,10,8.1,8.5,5,2.2,0.31,0.1,2,0.002,0.004,0.66,0.0002,0.0047,0.00002,0.00002,0.002,0.001,0.002,0.0002,0.01,0.02,0.002,0.011,46,56.2,Light rich,14
Hongze Lake,Linhuai Township,53,11,8.1,9.2,5.3,1.3,0.11,0.13,1.5,0.00182,0.0032,0.703,0.0004L,0.0047,0.00004L,0.00005L,0.004L,0.00098,0.004L,0.0003L,0.01L,0.05L,0.005,0.015,30,,,1
Hongze Lake,Linhuai Township,53,12,7.93,10.5,3.3,3,0.11,0.09,1,0.00279,0.0095,0.53,0.0004L,0.0017,0.00004L,0.00005L,0.004L,0.0103,0.004L,0.0009,0.01L,0.05L,0.005L,0.005,43,,,14
Hongze Lake,North of Longji Town,56,1,8.4,12.4,4.2,2.5,0.14,0.05,1.4,0.00483,0.0115,0.6,0.0002,0.0026,0.00002,0.00003,0.002,0.00021,0.002,0.0002,0.03,0.03,0.003,0.014,23,55.4,Light rich,17
Hongze Lake,North of Longji Town,56,2,8.3,13,2.9,2.9,0.06,0.08,1.3,0.00166,0.004,0.62,0.0002,0.0075,0.00002,0.00003,0.002,0.00318,0.002,0.0002,0.01,0.03,0.003,0.014,34,53.3,Light rich,15
Hongze Lake,North of Longji Town,56,3,8.3,10.2,3.8,1.5,0.08,0.11,1.4,0.001,0.01,0.6,0.0002,0.0033,0.00002,0.00003,0.002,0.002,0.002,0.0002,0.01,0.02,0.002,0.015,33,56.2,Light rich,14
Hongze Lake,North of Longji Town,56,4,8.4,8.5,3.5,0.9,0.06,0.06,1.1,0.001,0.01,0.66,0.0002,0.0032,0.00002,0.00003,0.002,0.004,0.002,0.0006,0.01,0.02,0.002,0.02,34,53.9,Light rich,15
Hongze Lake,North of Longji Town,56,5,8.3,8,3.6,1,0.06,0.05,1.5,0.002,0.02,0.58,0.0009,0.0027,0.00002,0.00002,0.002,0.003,0.002,0.0002,0.01,0.02,0.002,0.021,35,54.6,Light rich,17
Hongze Lake,North of Longji Town,56,6,8.4,7.4,3.8,1.1,0.1,0.03,1,0.013,0.02,0.58,0.0004,0.0026,0.00002,0.00002,0.002,0.0005,0.002,0.0002,0.01,0.02,0.002,0.013,45,49.9,Medium nutrition,16
Hongze Lake,North of Longji Town,56,7,8.4,7.1,4.6,1,0.24,0.12,1.8,0.001,0.01,0.69,0.0006,0.0048,0.00002,0.00002,0.002,0.004,0.002,0.0002,0.01,0.02,0.011,0.018,24,59.8,Light rich,14
Hongze Lake,North of Longji Town,56,8,8.5,7,4.9,2,0.13,0.07,1.7,0.002,0.004,0.7,0.0002,0.0053,0.00002,0.00002,0.002,0.0002,0.002,0.0003,0.01,0.02,0.002,0.014,65,54,Light rich,18
Hongze Lake,North of Longji Town,56,9,8.3,6.7,4.1,1,0.14,0.04,1.6,0.001,0.01,0.69,0.0005,0.0028,0.00002,0.00002,0.002,0.0005,0.002,0.002,0.01,0.02,0.002,0.009,45,51.4,Light rich,15
Hongze Lake,North of Longji Town,56,10,8,8.6,4.4,1.8,0.27,0.06,1.9,0.001,0.03,0.71,0.0002,0.0027,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.008,58,52.2,Light rich,15
Hongze Lake,North of Longji Town,56,11,7.9,9.3,5.1,1.2,0.08,0.1,1.4,0.00153,0.0049,0.764,0.0004L,0.0023,0.00004L,0.00005L,0.004L,0.00252,0.004L,0.0003L,0.01L,0.05L,0.005L,0.015,40,,,1
Hongze Lake,North of Longji Town,56,12,8.02,10.2,3.5,3.1,0.09,0.09,1.3,0.00459,0.0459,0.58,0.0004L,0.0011,0.00004L,0.00005L,0.004L,0.0112,0.004L,0.0018,0.01L,0.05L,0.005L,0.007,62,,,18
Llama Lake,Llama Lake Township,414,11,7.98,9.1,3.1,2.7,0.13,0.04,1.8,0.00098,0.0159,0.57,0.0004L,0.0014,0.00004L,0.00005L,0.004L,0.00476,0.004L,0.003,0.01L,0.05L,0.005L,0.15,40,,,2
Llama Lake,Llama Lake Township,414,1,8.3,12.7,3.6,2.5,0.32,0.05,1.6,0.0015,0.025,0.49,0.0002,0.0016,0.00002,0.00003,0.006,0.00005,0.002,0.0002,0.01,0.03,0.006,0.002,60,46,Medium nutrition,14
Llama Lake,Llama Lake Township,414,2,8.4,13.4,4,2.7,0.1,0.03,1.7,0.00119,0.005,0.64,0.0002,0.007,0.00002,0.00003,0.002,0.00005,0.002,0.0012,0.01,0.03,0.003,0.007,115,46.4,Medium nutrition,15
Llama Lake,Llama Lake Township,414,3,8.3,10.6,3.7,2.6,0.2,0.03,1.3,0.0002,0.0004,0.57,0.0002,0.0015,0.00005,0.00003,0.002,0.00005,0.002,0.0013,0.01,0.02,0.002,0.006,55,47.5,Medium nutrition,13
Llama Lake,Llama Lake Township,414,4,8.4,8.7,3.2,2.8,0.22,0.02,1.7,0.00004,0.01,0.61,0.0002,0.0014,0.00002,0.00003,0.002,0.00005,0.002,0.0002,0.01,0.02,0.002,0.002,60,42.9,Medium nutrition,13
Llama Lake,Llama Lake Township,414,5,8.5,8.5,2.5,2.9,0.19,0.02,1.7,0.00004,0.005,0.62,0.0002,0.0001,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.005,82,43.1,Medium nutrition,13
Llama Lake,Llama Lake Township,414,6,8.4,8.4,4.1,2.5,0.15,0.02,0.9,0.002,0.02,0.59,0.0002,0.0008,0.00002,0.0001,0.002,0.0004,0.002,0.0015,0.01,0.02,0.002,0.006,170,41.4,Medium nutrition,18
Llama Lake,Llama Lake Township,414,7,7.8,6.8,3.4,2.2,0.2,0.05,0.9,0.001,0.003,0.59,0.0002,0.0031,0.00002,0.0001,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.037,80,51.6,Light rich,16
Llama Lake,Llama Lake Township,414,8,8.4,7.2,3.5,2.3,0.06,0.02,0.7,0.003,0.0004,0.72,0.0002,0.0035,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.01,125,42.7,Medium nutrition,14
Llama Lake,Llama Lake Township,414,9,8.7,6.8,4.8,2.3,0.18,0.04,1.2,0.00004,0.0004,0.47,0.0002,0.0019,0.00002,0.00002,0.002,0.00004,0.002,0.0014,0.02,0.02,0.002,0.01,65,50.3,Light rich,18
Llama Lake,Llama Lake Township,414,10,8.5,8.1,4.5,2.3,0.11,0.04,1.9,0.002,0.0004,0.47,0.0002,0.0006,0.00002,0.00002,0.002,0.00004,0.002,0.0005,0.01,0.02,0.002,0.113,100,56.8,Light rich,20
Llama Lake,Llama Lake Township,414,12,7.86,11.2,2.7,3.3,0.21,0.05,2.3,0.00084,0.0007L,0.47,0.0004L,0.0006,0.00004L,0.00005L,0.004L,0.0102,0.004L,0.001,0.01L,0.05L,0.005L,0.013,65,,,18
Llama Lake,Three,416,1,8.3,12.4,3.6,3.1,0.3,0.03,1.4,0.00071,0.025,0.52,0.0002,0.0017,0.00002,0.00003,0.006,0.00005,0.002,0.0002,0.02,0.03,0.009,0.002,65,43.8,Medium nutrition,15
Llama Lake,Three,416,2,8.5,13.1,3.8,2.4,0.12,0.02,1.4,0.00116,0.0043,0.64,0.0002,0.006,0.00002,0.00003,0.002,0.00005,0.002,0.0018,0.01,0.03,0.003,0.006,105,44.3,Medium nutrition,13
Llama Lake,Three,416,3,8.3,10.3,4,2.4,0.22,0.03,1.4,0.0004,0.002,0.57,0.0002,0.0019,0.00002,0.00003,0.002,0.00005,0.002,0.0005,0.01,0.02,0.002,0.008,62,48.5,Medium nutrition,13
Llama Lake,Three,416,4,8.4,8.9,3,2.6,0.24,0.02,1.6,0.00004,0.002,0.58,0.0002,0.0015,0.00002,0.00003,0.002,0.00005,0.002,0.0002,0.01,0.02,0.002,0.002,55,42.7,Medium nutrition,14
Llama Lake,Three,416,5,8.5,8.4,2.4,2.7,0.17,0.02,1.7,0.00004,0.0004,0.62,0.0002,0.0004,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.004,95,41.8,Medium nutrition,15
Llama Lake,Three,416,6,8.4,8.3,4.5,3.2,0.13,0.02,0.9,0.001,0.07,0.61,0.0002,0.0012,0.00002,0.0001,0.002,0.0004,0.002,0.0005,0.01,0.02,0.002,0.011,173,43.7,Medium nutrition,19
Llama Lake,Three,416,7,8,7.5,2.7,2.3,0.18,0.05,0.8,0.001,0.004,0.62,0.0002,0.003,0.00002,0.00002,0.002,0.0002,0.002,0.0002,0.01,0.02,0.002,0.046,85,50.5,Light rich,11
Llama Lake,Three,416,8,8.2,6.7,3.5,2.1,0.08,0.03,0.7,0.002,0.0004,0.73,0.0002,0.003,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.025,110,46.8,Medium nutrition,12
Llama Lake,Three,416,9,8.7,6.6,5.1,2.4,0.19,0.06,1.4,0.001,0.0004,0.48,0.0002,0.0018,0.00002,0.00002,0.002,0.00004,0.002,0.0012,0.01,0.02,0.002,0.027,64,55.2,Light rich,17
Llama Lake,Three,416,10,8.6,7.7,3.9,2.1,0.11,0.04,1.9,0.001,0.0004,0.46,0.0002,0.0003,0.00002,0.00002,0.002,0.00004,0.002,0.0005,0.01,0.02,0.002,0.053,110,53.6,Light rich,20
Llama Lake,Three,416,11,7.92,9.2,3.2,2.8,0.13,0.04,1.6,0.00084,0.0106,0.54,0.0005,0.0004,0.00004L,0.00005L,0.004L,0.0047,0.004L,0.001,0.01L,0.05L,0.005L,0.033,35,,,2
Llama Lake,Three,416,12,8.04,11,2.7,3.7,0.17,0.05,2.4,0.00085,0.0007L,0.47,0.0004L,0.0003,0.00004L,0.00005L,0.004L,0.0102,0.004L,0.0005,0.01L,0.05L,0.005L,0.018,82,,,17
